Vincent van Gogh (1853 - 1890) - Irises 1889 Oil on canvas
Canaletto (Giovanni Antonio Canal) (1697 - 1768) - The Grand Canal in Venice from Palazzo Flangini to Campo San Marcuola about 1738 Oil on canvas
Gustave Caillebotte (1848 - 1894) - Young Man at His Window 1876 Oil on canvas
Francois Boucher (1703 - 1770) - The Bird Catchers 1748 Oil on canvas
Edvard Munch (1863 - 1944) - Starry Night 1893 Oil on canvas
Claude Monet (1840 - 1926) - Wheatstacks Snow Effect Morning 1891 Oil on canvas
Joaquín Sorolla y Bastida (1863 - 1923) - The Wounded Foot 1909 Oil on canvas
Peter Paul Rubens (1577 - 1640) and Jan Brueghel the Elder (1568 - 1625) - The Return from War: Mars Disarmed by Venus about 1610-1612 Oil on panel
